Implementacja FFT: chatGPT, kod przerobiony by działał bez liczb zespolonych


Czasy działań algorytmów (dla funkcji liniowej (funkcja w zadaniu1)):
N     |     DFT      |     FFT
------|--------------|--------------
2     |   14.733µs   |   3.028µs
------|--------------|--------------
4     |   4.247µs    |   3.965µs
------|--------------|--------------
8     |   11.977µs   |   18.335µs
------|--------------|--------------
16    |   44.55µs    |   45.192µs
------|--------------|--------------
32    |   177.231µs  |   108.408µs
------|--------------|--------------
64    |   553.125µs  |   139.522µs
------|--------------|--------------
128   |   1.75949ms  |   317.539µs
------|--------------|--------------
256   |   7.28789ms  |   724.447µs
------|--------------|--------------
512   |   29.8612ms  |   1.592897ms
------|--------------|--------------
1024  |   116.099ms  |   3.367569ms
------|--------------|--------------
2048  |   455.093ms  |   7.468797ms
------|--------------|--------------
4096  |   1.800763s  |   17.16112ms
------|--------------|--------------
8192  |   7.259281s  |   36.10723ms
------|--------------|--------------
16384 |   29.12650s  |   75.19378ms
------|--------------|--------------
